isbn,title,subtitle,writer,print
4-7676-1211-X,土木工事積算基準,平成26年度,東日本高速道路（株）/ 中日本高速道路（株）/ 西日本高速道路（株）,（株）高速道路総合技術研究所
4-7973-5823-8,標準テキスト　Windows Server 2012 R2,構築・運用・管理パーフェクトガイド,知北　直宏,SBクリエイティブ
4-7973-7267-2,自閉症スペクトラム,10人に１人が抱える「生きづらさ」の正体,本田　秀夫,SB新書
4-7981-3948-3,マスタリング Vmware vSphere 5.5,,スコット・ローウィ / ニック・マーシャル,翔泳社
4-8222-6890-X,すべてわかるストレージ大全,SDS／フラッシュが切り開くビッグデータの高度活用,日経コンピュータ／ITpro／日経SYSTEMS,日経BP社
978-0-321-55346-1,Eclipse Plug-ins (3rd Edition),Building Commercial-Quality Plug-ins (Eclipse Series),Eric Clayberg/Dan Rubel,Addison-Wesley
978-0-470-63517-9,Pentaho Kettle Solutions,Building Open Source ETL Solutions with Pentaho Data Integration,Matt Casters、 Roland Bouman、 Jos van Dongen,WILEY
978-0-735-62562-4,MCTS EXAM 70-562 SELF-PACED Training Kit,Microsoft. NET Framwork 3.5-ASP.NET Application Development,Mike Shell、 Glenn Jonson、 Tony Northrup、 and GrandMasters,Microsoft Press
978-1-634-62117-5,Data Lake Architecture,Designing the Data Lake and Avoiding the Garbage Dump,Bill Inmon,Technics Publications
978-1-933-89068-5,プロジェクトマネジメント知識体系ガイド,PMBOKガイド　第4版,Project Management Institute、 Inc.,Project Management Institute、 Inc.
978-4-048-66067-9,オープンソース・クラウド基盤OpenStack入門,構築・利用方法から内部構造の理解まで,中井悦司、中島倫明,KADOKAWA
978-4-048-66202-4,高速スケーラブル検索エンジン ElasticSearch Server,中級技術者向け,ラファルカーク、マレクロゴジンスキー,KADOKAWA
978-4-048-68476-7,Oracle Database 11g 新機能ガイド,Release 2 対応,篠田　典良/日本オラクル株式会社,アスキーメディアワークス
978-4-048-91985-2,Chef活用ガイド,コードではじめる構成管理,澤登亨彦、樋口大輔,KADOKAWA
978-4-061-83630-3,企業参謀,(講談社文庫),大前　研一,講談社文庫
978-4-122-04737-2,人と企業の新の価値を高めるヒント,,大久保　寛司,中公文庫
978-4-254-27005-1,サプライ・チェインの設計と管理,コンセプト 戦略・事例,D.スミチ・レビ/P.カミンスキ/E.スミチ・レビ/久保　幹雄 監修,朝倉書店
978-4-274-50099-2,リスクプリベンション工学,技術者の危機管理学,植木　正憲/矢部　五郎/井出川　洋,オーム社
978-4-274-50226-2,ISO9001 内部品質監査の実務知識早わかり,改訂4版 （ISO9001-2008年版準拠）,大浜　庄司,オーム社
978-4-303-52820-1,造船幾何学,造船設計の基礎知識,慎　燦益,海文堂
978-4-322-11731-8,SEのための銀行三大業務入門,図解で学ぶ,室　勝,金融財政事情研究会
978-4-322-12122-3,カード決済業務のすべて,ペイメントサービスの仕組みとルール,山本　正行,金融財政事情研究会
978-4-334-03488-7,新入社員はなぜ「期待はずれ」なのか,失敗しないための採用・面接・育成,樋口　弘和,光文社新書
978-4-339-02395-4,マルチエージェント学習,相互作用の謎に迫る,高玉圭樹,コロナ社
978-4-391-63026-8,NHKためしてガッテン科学のワザで確実にやせる。,失敗しない!目からウロコのダイエット術 (主婦と生活生活シリーズ),NHK科学・環境番組部、主婦と生活社(編纂),主婦と生活社
978-4-398-68067-9,震災時帰宅支援マップ 首都圏版 (2013年5版),防災マップ|昭文社/マップル,昭文社,昭文社
978-4-425-56071-4,海洋底掘削の基礎と応用,海中技術シリーズ1,(社)日本船舶海洋工学会 海中技術研究委員会(編),城山堂書店
978-4-425-71382-0,英和版　船体構造イラスト集（新装版）,Illustrations of Hull Structures,恵美　洋彦,成山堂書店
978-4-425-71383-7,英和版新船体構造イラスト集,,惠美洋彦,成山堂書店
978-4-425-71431-5,船舶算法と復原性,船舶海洋工学シリーズ1,池田　良穂 / 古川　芳孝 / 片山　徹/勝井　辰博 / 村井　基彦 / 山口　悟,城山堂書店
978-4-425-71481-0,船体構造　構造編,船舶海洋工学シリーズ6,藤久保　昌彦 / 吉川　孝男/深沢　塔一 / 大沢　直樹 / 鈴木　英之,城山堂書店
978-4-425-71491-9,船体構造　強度編,船舶海洋工学シリーズ7,藤久保　昌彦/吉川　孝男/深沢　塔一/大沢　直樹/後藤　浩二,城山堂書店
978-4-425-71531-2,船舶性能設計,船舶海洋工学シリーズ11,萩原　誠功/山崎　正三郎/芳村　康男/足立　宏之,城山堂書店
978-4-425-71541-1,海洋構造物,船舶海洋工学シリーズ12,飯島　一博/鈴木　孝之/高木　健/井上　俊司/岡田　真三/他,城山堂書店
978-4-433-54045-6,Q&Aマイナンバーのセキュリティ対策,ITを活用した安全管理のすべて,武本敏,清文社
