id,branch,isbn,recorddate,emp_no,buy,price
5111,0,978-4-774-16500-4,2015/5/8,10001,紀伊国屋,2631
5108,0,978-4-873-11629-7,2015/5/8,10001,紀伊国屋,4561
5107,0,978-4-798-13882-4,2015/5/8,10001,紀伊国屋,3782
5109,0,978-4-873-11693-8,2015/5/8,10001,紀伊国屋,2851
5110,0,978-4-048-66202-4,2015/5/8,10001,紀伊国屋,2661
4975,0,978-4-883-99957-6,2012/10/12,10002,紀伊国屋,2194
5079,0,4-8222-6890-X,2014/12/5,10003,紀伊国屋,2566
5083,0,978-4-844-33351-7,2014/12/17,10003,紀伊国屋,4371
5082,0,978-4-844-33711-9,2014/12/17,10003,紀伊国屋,5132
5093,0,978-4-048-66067-9,2015/2/13,10003,紀伊国屋,1710
4995,1,978-4-532-31288-6,2013/6/12,10004,紀伊国屋,1995
4995,2,978-4-532-31288-6,2013/6/12,10004,紀伊国屋,1995
4995,3,978-4-532-31288-6,2013/6/12,10004,紀伊国屋,1995
4995,4,978-4-532-31288-6,2013/6/12,10004,紀伊国屋,1995
4995,5,978-4-532-31288-6,2013/6/12,10004,紀伊国屋,1995
4995,6,978-4-532-31288-6,2013/6/12,10004,紀伊国屋,1995
4995,9,978-4-532-31288-6,2013/6/12,10004,紀伊国屋,1995
4995,10,978-4-532-31288-6,2013/6/12,10004,紀伊国屋,1995
5254,0,978-4-839-95911-1,2017/6/23,10005,紀伊国屋,2640
5255,0,978-4-873-11705-8,2017/6/23,10005,紀伊国屋,4048
4948,0,978-4-897-97823-9,2011/9/6,10006,紀伊国屋,8778
5129,0,978-4-844-33722-5,2015/10/8,10007,紀伊国屋,2261
4926,0,978-4-539-74522-9,2010/10/21,10008,立替,1680
4942,0,978-4-845-21292-7,2011/6/8,10008,労政時報,2494
4976,0,978-4-539-74566-3,2012/10/17,10008,立替,1680
5008,0,978-4-539-74576-2,2013/10/25,10008,立替,1680
5067,0,978-4-539-74566-3,2014/10/15,10008,紀伊国屋,1641
5210,0,978-4-539-74615-8,2016/10/21,10008,紀伊國屋,1710
5113,0,978-4-822-29825-8,2015/5/29,10009,紀伊国屋,4466
4922,0,978-1-933-89068-5,2010/10/4,10010,PMI日本支部,6400
5100,0,978-4-502-23190-2,2015/4/9,10010,立替,3024
5146,0,978-4-845-25353-1,2015/11/16,10011,自動送付,5266
5217,0,978-4-845-26352-3,2016/11/15,10011,自動送付,6583
5223,0,978-4-845-27251-8,2016/12/22,10011,自動送付,3700
5228,0,978-4-845-27252-5,2017/2/20,10011,自動送付,7200
5151,0,978-4-798-14259-3,2015/12/1,10012,紀伊国屋,3611
5009,0,978-4-398-68067-9,2013/10/28,10012,紀伊国屋,798
4933,0,978-4-334-03488-7,2010/11/7,10013,立替,777
5070,0,4-7973-5823-8,2014/10/28,10014,紀伊国屋,4104
4950,0,978-4-877-60163-8,2011/9/20,10014,立替,7140
5190,0,978-4-774-17521-8,2016/6/22,10015,紀伊國屋,4224
4925,0,978-4-904-97600-5,2010/10/19,10016,IIBA日本出版事務局,6000
5189,0,978-4-767-61228-7,2016/6/20,10017,紀伊國屋,9504
4987,0,978-4-492-97226-7,2013/3/22,10018,紀伊国屋,1852
4988,0,978-4-492-97227-4,2013/3/22,10018,紀伊国屋,1852
4968,0,978-4-767-61224-9,2012/6/19,10019,立替,9660
4973,0,978-4-863-74100-3,2012/8/27,10019,立替,3399
4993,0,978-4-767-67013-3,2013/5/24,10019,紀伊国屋,7700
